Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls per90,Ast per90,G+A per90,G-PK per90,G+A-PK per90,xG,npxG,xA,npxG+xA,xG per90,xA per90,xG+xA per90,npxG per90,npxG+xA per90,Passes Cmp,Att,Passes Cmp%,Passes TotDist,Passes PrgDist,KP per90,Final third per90,PPA per90,CrsPA per90,Prog per90,Live passes per90,Dead passes per90,FK passes per90,TB passes per90,under pressure passes per90,Sw passes per90,Crs passes per90,CK passes per90,Ground passes per90,Low passes per90,High passes per90,SCA Dead-balls per90,SCA Open-Play per90,Touches per90,Touches Def Pen per90,Touches Def 3rd per90,Touches Mid 3rd per90,Touches Att 3rd per90,Touches Att Pen per90,Live touches per90,Succ Dribbles per90,Att Dribbles per90,Succ Dribbles%,Players dribbled past per90,NutMegs per90,Carries per90,Carries TotDist per90,Carries PrgDist per90,Prog Carries per90,Carries to final-third per90,Carries to penalty area per90,Miss-Control per90,Dispossessed per90,Pass Targ per90,Passes Rec per90,Pass Rec%,Prog Rec-Passes per90,Tkl per90,TklW per90,Tkl Def 3rd per90,Tkl Mid 3rd per90,Tkl Att 3rd per90,Succ Tkl vs Dribbles per90,Att Tkl vs Dribbles per90,Tkl vs Dribbles%,Past per90,Press per90,Succ press per90,Succ Press %,Press Def 3rd per90,Press Mid 3rd per90,Press Att 3rd per90,Int per90,Tkl+Int per90,Clr per90,Err per90
501,Franco Cervi,ar ARG,MF,Celta Vigo,es La Liga,27,1994,33,21,1801,20,4,3,4,0,0,5,0,0.2,0.15,0.35,0.2,0.35,2.8,2.8,1.3,4.1,0.14,0.06,0.21,0.14,0.21,28.8,38.1,75.5,456.7,112.4,0.6,1.45,0.9,0.35,2.35,35.8,2.4,0.5,0,7.1,1.35,1.9,1.6,26.3,5,6.9,0.1,1.3,52.2,1.1,9.5,24.5,21.1,2.8,50,0.65,1.65,39.4,0.7,0.2,33.3,165.4,79.3,4.35,1.45,0.4,1.55,1.15,37.7,30.8,81.6,3.6,3.45,2.3,1.6,1.15,0.7,0.8,3,26.7,2.2,22.2,6.45,29.1,7.6,10,4.6,2,5.45,0.8,0
502,Leonardo Cйsar Jardim,br BRA,GK,Lille,fr Ligue 1,26,1995,17,17,1530,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,25.6,64.1,521.9,364.7,0,0.18,0,0,0,16.9,8.65,1.29,0,1.71,0.41,0,0,11.2,0.71,13.6,0,0,28.3,25.1,28.2,0.12,0,0,19.6,0,0,,0,0,11.1,47.7,25.2,0,0,0,0,0,10.8,10.8,99.5,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0.06
503,Damir Ceter,co COL,FW,Cagliari,it Serie A,23,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,50,550,0,0,0,0,0,0,20,0,0,0,10,0,0,0,10,0,10,0,0,20,0,0,20,0,0,20,0,0,,0,0,20,380,240,0,0,0,0,0,40,20,50,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0
504,Julian Chabot,de GER,DF,Sampdoria,it Serie A,23,1998,11,4,490,5.4,0,0,0,0,0,5,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,37.4,45.4,82.4,880.7,317.2,0,2.78,0.19,0,3.52,41.5,3.89,2.59,0,3.52,2.04,0,0,29.4,3.33,12.6,0,0,58.9,9.26,31.1,30,1.67,0.74,55.6,0.19,0.19,100,0.19,0,33.7,168.5,97,1.67,0.19,0,0,0.56,32,31.9,99.4,0.19,2.59,1.3,1.67,0.93,0,1.3,2.04,63.6,0.74,14.8,4.44,30,8.15,6.3,0.37,2.22,4.81,5.93,0
505,Julian Chabot,de GER,DF,Kцln,de Bundesliga,23,1998,4,2,209,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.2,65.2,80,1192.6,353.9,0,2.17,0.43,0,2.61,60.9,4.35,3.04,0,7.39,3.04,0,0,42.6,8.7,13.9,0,0.43,78.7,9.13,44.3,36.1,1.74,0.43,75.2,0.43,0.87,50,0.43,0,40,170.9,84.8,0.87,0,0,0.43,0,46.1,44.8,97.2,0,2.17,1.3,0.87,1.3,0,0.87,3.04,28.6,2.17,12.2,4.78,39.3,6.52,4.78,0.87,2.17,4.35,8.26,0
506,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,fr Ligue 1,16,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,100,1250,340,0,0,0,0,10,60,0,0,0,0,10,0,0,50,0,10,0,0,80,30,40,40,0,0,80,0,0,,0,0,50,190,10,0,0,0,0,0,60,60,100,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,20,0
507,Nassim Chadli,fr FRA,MFDF,Troyes,fr Ligue 1,20,2001,8,1,96,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.19,0.03,0.21,0.19,0.21,24.5,39.1,62.8,382.7,107.3,0.91,2.73,0,0,1.82,31.8,7.27,1.82,0,6.36,1.82,2.73,0.91,23.6,4.55,10.9,0,1.82,68.2,0,18.2,19.1,40,3.64,60.9,5.45,10,54.5,6.36,0.91,46.4,196.4,150,7.27,4.55,0.91,4.55,6.36,47.3,40,84.6,6.36,2.73,2.73,1.82,0,0.91,1.82,2.73,66.7,0.91,23.6,2.73,11.5,10,9.09,4.55,2.73,5.45,0.91,0
508,Kayky Chagas,br BRA,FW,Manchester City,eng Premier League,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,100,320,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,30,0,0,20,20,0,30,0,0,,0,0,30,400,290,10,10,0,10,0,40,30,75,0,0,0,0,0,0,0,0,,0,30,0,0,10,10,10,0,0,0,0
509,Mehdi Chahiri,ma MAR,MF,Strasbourg,fr Ligue 1,25,1996,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,42.9,265,110,0,0,0,0,5,30,5,0,0,5,0,0,0,20,10,5,0,5,55,0,10,15,35,15,50,0,5,0,5,0,30,130,85,5,5,0,0,5,45,25,55.6,5,5,5,5,0,0,5,5,100,0,15,5,33.3,5,0,10,0,5,0,0
510,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,22,1999,20,17,1449,16.1,3,1,3,0,0,2,0,0.19,0.06,0.25,0.19,0.25,1,1,0.2,1.2,0.06,0.01,0.08,0.06,0.08,70.7,77,91.8,1282.8,353.9,0.19,6.4,0.37,0,3.35,74.9,2.05,1.55,0.12,6.77,0.5,0.19,0,65.3,4.72,6.96,0,0.43,88.5,4.78,31.1,52.5,9.63,0.62,86.6,0.68,0.93,73.3,0.68,0,64.6,245.1,118,4.29,1.93,0,0.06,0.37,66.8,65.4,98,0.12,2.36,1.3,0.99,1.12,0.25,1.24,1.86,66.7,0.62,10.2,3.73,36.4,3.98,5.34,0.93,2.05,4.41,4.04,0.06
