Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls per90,Ast per90,G+A per90,G-PK per90,G+A-PK per90,xG,npxG,xA,npxG+xA,xG per90,xA per90,xG+xA per90,npxG per90,npxG+xA per90,Passes Cmp,Att,Passes Cmp%,Passes TotDist,Passes PrgDist,KP per90,Final third per90,PPA per90,CrsPA per90,Prog per90,Live passes per90,Dead passes per90,FK passes per90,TB passes per90,under pressure passes per90,Sw passes per90,Crs passes per90,CK passes per90,Ground passes per90,Low passes per90,High passes per90,SCA Dead-balls per90,SCA Open-Play per90,Touches per90,Touches Def Pen per90,Touches Def 3rd per90,Touches Mid 3rd per90,Touches Att 3rd per90,Touches Att Pen per90,Live touches per90,Succ Dribbles per90,Att Dribbles per90,Succ Dribbles%,Players dribbled past per90,NutMegs per90,Carries per90,Carries TotDist per90,Carries PrgDist per90,Prog Carries per90,Carries to final-third per90,Carries to penalty area per90,Miss-Control per90,Dispossessed per90,Pass Targ per90,Passes Rec per90,Pass Rec%,Prog Rec-Passes per90,Tkl per90,TklW per90,Tkl Def 3rd per90,Tkl Mid 3rd per90,Tkl Att 3rd per90,Succ Tkl vs Dribbles per90,Att Tkl vs Dribbles per90,Tkl vs Dribbles%,Past per90,Press per90,Succ press per90,Succ Press %,Press Def 3rd per90,Press Mid 3rd per90,Press Att 3rd per90,Int per90,Tkl+Int per90,Clr per90,Err per90
1269,Jakub Jankto,cz CZE,DFMF,Getafe,es La Liga,25,1996,14,6,587,6.5,0,2,0,0,0,1,1,0,0.31,0.31,0,0.31,0.2,0.2,1,1.2,0.03,0.15,0.18,0.03,0.18,24.3,36.3,66.9,444.5,165.5,0.62,2,0.77,0.15,3.38,30.9,5.38,0.31,0,5.85,0.92,2.92,0.15,18.8,7.38,10.2,0.15,0.92,45.7,1.54,10.2,23.1,15.5,1.85,40.5,0.31,0.77,40,0.31,0,26.8,146.3,81.1,3.85,1.08,0.31,0.77,1.08,30,25.8,86.2,2.15,1.54,1.08,0.92,0.46,0.15,1.08,1.69,63.6,0.62,11.7,3.69,31.6,3.69,5.23,2.77,1.85,3.38,1.69,0
1270,Pontus Jansson,se SWE,DF,Brentford,eng Premier League,30,1991,37,37,3321,36.9,3,1,3,0,0,7,0,0.08,0.03,0.11,0.08,0.11,2.9,2.9,0.5,3.4,0.08,0.01,0.09,0.08,0.09,32.2,39.3,82,679.4,182.1,0.11,0.95,0,0,1.44,37.8,1.52,1.08,0,4.01,0.46,0.03,0,27.3,4.36,7.62,0,0.38,49.9,11.5,31.8,18.3,1.73,1.33,48.4,0.08,0.11,75,0.11,0,23.8,118.9,54.1,0.92,0,0.03,0.22,0.08,28.5,27,94.8,0.11,0.98,0.68,0.73,0.22,0.03,0.46,0.98,47.2,0.51,5.53,2.03,36.8,3.25,1.92,0.35,1.87,2.85,5.64,0.05
1271,Tony Jantschke,de GER,DF,M'Gladbach,de Bundesliga,31,1990,3,3,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.02,0.04,0.06,0.02,0.06,34,47.2,72,644.4,271.2,0.4,2,0,0,2.8,45.2,2,2,0.4,6,0.4,0,0,32.8,3.2,11.2,0,0.8,56.4,4,28.4,31.6,2,0.8,55.2,0,0,,0,0,37.6,142.8,48.4,0,0.4,0,0,0,38.8,38.4,99,0.4,3.2,1.2,2,1.2,0,0.8,2,40,1.2,8.8,3.2,36.4,3.6,4,1.2,0.8,4,4,0
1272,Adnan Januzaj,be BEL,FWMF,Real Sociedad,es La Liga,26,1995,33,17,1625,18.1,3,0,1,2,2,5,0,0.17,0,0.17,0.06,0.06,4,2.5,3.4,5.9,0.22,0.19,0.41,0.14,0.33,26.4,40.7,64.9,535.1,187.4,1.82,2.98,1.66,0.66,4.09,33.3,7.4,2.27,0.33,8.4,4.09,3.2,4.59,24.1,5.47,11,0.99,2.55,58.2,1.05,6.08,26.5,30.2,3.43,51.2,2.38,4.7,50.6,2.65,0.22,43.6,212.6,123.1,8.12,2.43,0.83,3.37,3.43,49.7,41.5,83.4,5.58,0.99,0.55,0.11,0.5,0.39,0.17,0.94,17.6,0.77,10.5,3.2,30.5,2.38,5.08,3.04,0.94,1.93,0.77,0
1273,Pawe? Jaroszy?ski,pl POL,DF,Salernitana,it Serie A,26,1994,13,4,516,5.7,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.4,0.6,0.02,0.07,0.1,0.02,0.1,27,41.6,65,565.4,243.2,1.05,1.4,0.53,0.53,2.11,32.1,9.47,1.4,0,3.86,0.88,3.16,0.7,19.8,6.14,15.6,0.53,0.88,50,5.44,22.8,17.5,11.6,0.35,40.5,0.18,0.53,33.3,0.18,0,24.6,129.8,63.9,1.93,0.53,0,0.53,0.35,24.4,22.6,92.8,1.05,1.75,1.05,1.05,0.53,0.18,0.53,1.05,50,0.53,11.8,3.86,32.8,7.89,2.63,1.23,1.58,3.33,2.28,0.18
1274,Jason,es ESP,MFDF,Valencia,es La Liga,27,1994,5,1,75,0.8,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.07,0.17,0.24,0.07,0.24,30,38.8,77.4,668.8,305,2.5,5,3.75,0,8.75,33.8,5,1.25,0,3.75,3.75,3.75,1.25,20,6.25,12.5,2.5,2.5,62.5,1.25,16.3,21.3,32.5,3.75,58.8,1.25,3.75,33.3,1.25,0,37.5,337.5,218.8,6.25,3.75,0,2.5,3.75,45,36.3,80.6,8.75,2.5,1.25,1.25,0,1.25,0,3.75,0,3.75,30,3.75,12.5,12.5,12.5,5,2.5,5,2.5,0
1275,Jason,es ESP,MFFW,Alavйs,es La Liga,27,1994,14,10,678,7.5,0,1,0,0,0,1,0,0,0.13,0.13,0,0.13,0.6,0.6,1.7,2.3,0.08,0.22,0.31,0.08,0.31,15.9,29.5,53.8,321.5,137.5,2.27,0.93,0.93,0.53,1.87,21.3,8.13,4.13,0,5.47,2.27,3.33,3.2,12.5,4.53,12.4,1.73,2.14,40.7,0.67,6.53,15.7,20.8,2,33.1,0.67,2.53,26.3,0.93,0.67,20.7,108.1,62.3,2.4,0.67,0.27,1.73,1.47,31.5,20.4,64.8,2.8,1.73,1.07,1.07,0.53,0.13,0.8,2,40,1.2,20.3,4.67,23,6.8,8.93,4.53,1.47,3.2,0.27,0
1276,Dennis Jastrzembski,pl POL,DFFW,Hertha BSC,de Bundesliga,21,2000,8,1,225,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.5,0.5,0.02,0.19,0.21,0.02,0.21,27.6,42.8,64.5,522,176.8,1.6,1.2,0.8,0,2.4,30,12.8,0.4,0,4.4,1.2,3.2,1.6,22,9.6,11.2,0,1.6,54.4,1.6,14.4,24,21.6,2.8,42,2,4.4,45.5,2,0,31.6,176,74.4,4,1.2,2.4,2,2.4,38,28.8,75.8,5.6,0.8,0.8,0.4,0.4,0,0.8,2.4,33.3,1.6,18.4,5.2,28.3,7.2,7.2,4,0.8,1.6,1.6,0
1277,Luis Javier Suбrez,co COL,FW,Granada,es La Liga,23,1997,36,33,2782,30.9,8,4,8,0,1,6,0,0.26,0.13,0.39,0.26,0.39,10.8,10.1,2.5,12.5,0.34,0.08,0.42,0.32,0.4,14.5,21.9,66.2,239.9,46.8,0.84,0.84,0.78,0.29,1.46,20.8,1.1,0.03,0.03,6.41,0.84,1.62,0,13.2,4.11,4.6,0,1.91,34.9,0.91,2.94,16.7,18,4.11,33.8,1.13,2.3,49.3,1.26,0.06,23.7,129.5,76.3,4.4,1.2,0.94,3.46,1.49,42.6,25.8,60.6,6.96,0.84,0.58,0.16,0.32,0.36,0.19,0.78,25,0.58,14.7,3.92,26.7,1.68,6.08,6.89,0.45,1.29,0.71,0
1278,Corentin Jean,fr FRA,FWDF,Lens,fr Ligue 1,26,1995,17,1,255,2.8,1,0,1,0,0,2,0,0.35,0,0.35,0.35,0.35,1,1,0.2,1.2,0.36,0.06,0.42,0.36,0.42,32.5,43.2,75.2,536.4,115,0.71,2.5,0.71,0.36,2.5,37.1,6.07,0.36,0,6.07,2.14,2.14,0.71,26.8,7.5,8.93,0,2.14,58.9,1.79,7.86,27.1,26.8,3.57,52.9,0.36,1.43,25,0.36,0,33.6,115.4,43.9,2.5,0.36,0,3.57,1.43,55.4,38.9,70.3,5.36,3.21,2.5,1.43,1.43,0.36,1.07,1.79,60,0.71,17.5,5.71,32.7,5,6.43,6.07,0,3.21,0,0
1279,Jemerson,br BRA,DF,Metz,fr Ligue 1,28,1992,15,15,1202,13.4,0,0,0,0,0,3,2,0,0,0,0,0,0.6,0.6,0,0.7,0.05,0,0.05,0.05,0.05,30.5,35.4,86.1,600.1,176,0.07,0.3,0.07,0.07,0.6,33.3,2.16,1.87,0,4.63,1.04,0.07,0,27.2,3.96,4.33,0,0.29,46.7,5.75,29.6,18.6,1.04,0.75,44.7,0.15,0.22,66.7,0.15,0,26.1,124.7,66,1.04,0.07,0,0.45,0.3,26.9,25.9,96.1,0.15,3.28,1.72,2.54,0.75,0,1.04,1.72,60.9,0.67,17.2,6.64,38.5,12.9,3.96,0.37,2.61,5.9,2.54,0
1280,Fredrik Jensen,fi FIN,MFFW,Augsburg,de Bundesliga,23,1997,12,2,418,4.6,0,1,0,0,0,0,0,0,0.22,0.22,0,0.22,0.2,0.2,0.6,0.8,0.05,0.12,0.17,0.05,0.17,13.5,24.6,54.9,236.3,85.4,1.3,1.74,1.52,0.65,2.17,22.8,1.74,0.22,0,4.35,1.3,2.61,1.09,12.4,4.78,7.39,0.22,1.3,34.8,1.09,5.43,13.5,17.6,3.48,33,0.43,0.65,66.7,0.43,0,18.3,120.7,72.2,3.7,1.3,0.22,1.52,0.65,36.3,19.1,52.7,4.13,1.3,0.22,0.43,0.65,0.22,1.09,1.96,55.6,0.87,15.4,3.26,21.1,2.61,7.17,5.65,0.87,2.17,1.52,0
1281,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,25,1996,31,19,1601,17.8,0,1,0,0,0,0,0,0,0.06,0.06,0,0.06,2.5,2.5,3.6,6.1,0.14,0.2,0.34,0.14,0.34,31.3,43.3,72.4,696.7,211.3,2.08,3.76,1.46,0.67,3.88,37.8,5.56,2.02,0,6.97,3.65,1.8,2.7,24.2,4.72,14.4,1.07,2.14,53.7,1.8,11.4,28.3,17.1,1.85,48.1,0.67,1.12,60,0.79,0.28,30.7,143.2,69.5,3.76,1.12,0.06,0.84,1.18,38.4,31.3,81.6,2.81,1.91,1.57,0.67,0.96,0.28,1.07,3.43,31.1,2.36,25.6,7.47,29.2,9.33,12,4.27,1.85,3.76,0.79,0.06
1282,Moritz Jenz,de GER,DF,Lorient,fr Ligue 1,22,1999,17,16,1381,15.3,1,0,1,0,0,5,1,0.07,0,0.07,0.07,0.07,1,1,0.1,1.1,0.06,0.01,0.07,0.06,0.07,38.3,44.7,85.7,835.4,245.6,0.13,1.83,0,0,1.83,43.3,1.44,1.31,0,4.58,1.57,0,0,35.8,2.22,6.67,0,0.6,55.8,7.52,29,27.8,2.48,0.98,54.3,0.13,0.13,100,0.13,0,32.3,183,98,2.75,0.46,0,0.33,0.2,36.9,36.2,98.1,0.2,2.16,1.11,1.37,0.65,0.13,0.78,1.57,50,0.78,11.3,3.99,35.3,7.45,3.27,0.59,2.16,4.31,3.92,0
1283,Gabriel Jesus,br BRA,FW,Manchester City,eng Premier League,24,1997,28,21,1877,20.9,8,8,7,1,1,1,0,0.38,0.38,0.77,0.34,0.72,10.1,9.4,5.4,14.7,0.49,0.26,0.74,0.45,0.71,30.5,36.3,84.2,446.7,78.3,1.67,0.86,1.48,0.29,2.54,35.4,0.86,0.05,0.1,6.7,0.38,1.29,0,29.9,3.11,3.3,0,3.54,49.4,0.77,4.16,17.7,30.3,7.99,48.6,1.91,2.92,65.6,2.15,0.19,39.7,190.6,97.4,7.03,1.1,1.63,2.73,2.2,52.8,38.1,72.2,7.7,1.15,0.57,0.24,0.29,0.62,0.29,1.2,24,0.91,14.1,3.44,24.4,1.58,6.17,6.36,0.86,2.01,0.33,0
1284,Juan Jesus,br BRA,DF,Napoli,it Serie A,30,1991,21,14,1278,14.2,1,0,1,0,0,1,0,0.07,0,0.07,0.07,0.07,0.6,0.6,0.2,0.7,0.04,0.01,0.05,0.04,0.05,53,59.3,89.4,979.1,319.6,0.28,2.46,0.14,0,1.9,56.2,3.1,2.18,0,5.56,0.56,0.14,0,48.2,4.15,6.9,0,0.77,67.4,8.73,33.2,36.4,1.48,0.63,64.3,0.14,0.21,66.7,0.14,0,44.1,244.4,102.2,2.18,0.35,0.07,0.14,0,46.9,45.9,97.9,0,2.04,1.41,0.85,1.2,0,0.63,1.13,56.3,0.49,10.9,4.65,42.6,5.7,4.93,0.28,1.27,3.31,2.61,0
1285,Бlvaro Jimйnez,es ESP,MFFW,Cбdiz,es La Liga,26,1995,9,1,234,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.05,0.03,0.08,0.05,0.08,15.4,27.7,55.6,274.6,117.3,0.77,1.54,1.54,0.77,3.08,25.8,1.92,0,0,5.38,2.69,6.54,1.15,11.9,6.15,9.62,0.77,1.15,43.5,0.38,6.15,15.4,25,3.08,41.5,2.31,5,46.2,2.31,0,28.8,193.8,123.5,7.69,1.15,2.31,2.31,1.15,37.3,26.9,72.2,3.46,3.08,1.15,1.54,1.54,0,1.15,1.92,60,0.77,23.1,5.77,25,10.8,8.08,4.23,0.77,3.85,1.15,0
1286,Raъl Jimйnez,mx MEX,FW,Wolves,eng Premier League,30,1991,34,30,2631,29.2,6,4,5,1,1,9,2,0.21,0.14,0.34,0.17,0.31,6.6,6.1,2.7,8.7,0.23,0.09,0.32,0.21,0.3,19.1,26.7,71.5,294,60.9,1.13,1.3,0.62,0.14,1.71,24.9,1.78,0,0.1,7.88,0.51,0.68,0,16.9,5.58,4.21,0.03,2.09,41.4,1.23,3.94,23,17,4.66,39.6,1.3,3.18,40.9,1.54,0.07,27.8,108.4,56,3.25,0.79,0.62,3.15,2.26,48.1,30.4,63.3,6.61,1.13,0.79,0.14,0.62,0.38,0.14,0.72,19,0.58,15.2,3.7,24.3,1.4,8.01,5.82,0.65,1.78,0.92,0
1287,Joaquнn,es ESP,FWMF,Betis,es La Liga,40,1981,21,2,471,5.2,0,1,0,0,0,0,0,0,0.19,0.19,0,0.19,1.9,1.9,1.5,3.3,0.36,0.28,0.64,0.36,0.64,40.4,51.7,78.1,662.3,201.2,3.27,3.46,2.31,0.19,5,44.4,7.31,1.92,0,7.5,3.08,2.88,4.81,36,5,10.8,2.12,3.66,65.4,1.73,8.27,26.2,35.8,4.62,58.7,3.65,5.96,61.3,4.04,0.38,46.9,270.2,180,9.81,2.88,1.35,1.15,2.12,55.2,44.6,80.8,5,0.96,0.77,0.58,0.38,0,0.58,1.15,50,0.58,9.62,3.65,38,4.04,3.27,2.31,1.15,2.12,1.15,0
1288,Joelinton,br BRA,MFFW,Newcastle Utd,eng Premier League,24,1996,35,30,2558,28.4,4,1,4,0,0,8,0,0.14,0.04,0.18,0.14,0.18,4.1,4.1,1.8,6,0.15,0.06,0.21,0.15,0.21,26.2,33.1,79.2,401.2,101,0.99,1.87,0.67,0.14,2.36,32.7,0.46,0,0.04,10.6,0.35,0.63,0,22.9,5.99,4.23,0,2.05,49.3,2.89,11.2,25.1,17,3.03,48.8,1.16,2.32,50,1.23,0.14,31.8,160,88.9,3.77,1.3,0.35,2.61,2.43,38.8,30.6,78.7,3.56,2.54,1.55,1.16,0.99,0.39,0.81,1.97,41.1,1.16,21.5,5.74,26.7,6.69,9.75,5.04,1.69,4.23,1.65,0.04
1289,Jofre,es ESP,MFDF,Espanyol,es La Liga,20,2001,3,0,20,0.2,0,1,0,0,0,0,0,0,4.5,4.5,0,4.5,0,0,0.3,0.3,0,1.57,1.57,0,1.57,30,40,75,655,260,10,0,10,10,0,40,0,0,0,5,10,15,0,20,5,15,0,15,65,0,0,20,55,15,65,0,0,,0,0,50,585,410,30,10,5,5,0,70,55,78.6,25,5,5,0,0,5,5,5,100,0,15,10,66.7,0,0,15,0,5,0,0
1290,Marco John,de GER,DF,Hoffenheim,de Bundesliga,19,2002,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,93.8,442,200,0,2,0,0,4,26,6,0,0,0,0,0,0,24,6,2,0,2,40,0,8,22,12,2,34,0,0,,0,0,20,172,138,2,0,2,0,0,22,20,90.9,0,0,0,0,0,0,0,2,0,2,8,2,25,2,6,0,4,4,0,0
1291,Dennis Johnsen,no NOR,FWMF,Venezia,it Serie A,23,1998,26,17,1445,16.1,1,2,1,0,0,2,0,0.06,0.12,0.19,0.06,0.19,1.7,1.7,2.7,4.4,0.1,0.17,0.27,0.1,0.27,12.1,20.1,60.4,224.3,70.6,1.49,0.75,1.12,0.43,1.8,19.9,0.12,0,0,4.72,0.87,2.36,0.06,12.5,3.91,3.6,0,1.92,32.4,0.75,5.28,12.5,17.8,3.91,32.3,1.55,4.16,37.3,1.68,0.37,24.9,128,81.2,3.35,1.18,0.87,3.48,1.68,38.5,23.5,61.1,7.45,0.87,0.68,0.56,0.25,0.06,0.31,1.37,22.7,1.06,15.5,3.17,20.5,3.54,5.59,6.34,0.56,1.43,0.56,0
1292,Ben Johnson,eng ENG,DF,West Ham,eng Premier League,21,2000,20,16,1397,15.5,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,0.1,0.1,0.8,0.9,0.01,0.05,0.06,0.01,0.06,34.1,48.9,69.7,667,266.3,0.58,2.77,1.16,0.84,3.23,39.3,9.61,0.39,0.06,4.77,2,2.58,0,22.7,11.2,15,0.06,0.9,60.8,6.06,22.1,26.6,15,0.84,51.3,0.58,1.03,56.3,0.77,0.13,32.7,151.9,65.9,2.65,1.29,0.06,0.71,0.84,35.4,32.6,92.3,1.16,1.94,1.03,0.9,0.77,0.26,1.1,1.94,56.7,0.84,11.1,3.94,35.5,5.61,3.42,2.06,1.61,3.55,3.16,0
1293,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,20,2001,15,10,851,9.5,1,1,1,0,0,0,0,0.11,0.11,0.21,0.11,0.21,0.9,0.9,0.6,1.6,0.1,0.07,0.16,0.1,0.16,56.2,62.2,90.4,963.2,195.2,0.95,4.74,1.05,0,3.68,60.4,1.79,0.63,0,9.47,1.37,0.21,0.42,54.1,3.47,4.63,0.11,2.32,73.1,1.16,8.84,44.1,25.6,1.68,71.7,1.89,2.95,64.3,1.89,0.11,59.2,325.3,156.8,8.63,2.42,0.53,1.47,2.21,64.8,59.3,91.4,4.53,1.26,0.95,0.32,0.84,0.11,0.21,0.95,22.2,0.74,22.3,6.42,28.8,3.89,12.2,6.21,1.05,2.32,0.21,0
1294,Phil Jones,eng ENG,DF,Manchester Utd,eng Premier League,29,1992,4,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,39.4,43.9,89.9,778.3,212.8,0.56,3.89,0,0,2.78,43.9,0,0,0,3.89,0,0,0,36.1,3.89,3.89,0,0.56,55.6,10,26.1,28.3,3.89,0.56,55.6,0,0,,0,0,35.6,157.8,78.3,2.78,0.56,0,0.56,0,35,35,100,0,3.33,2.22,2.22,0.56,0.56,1.67,2.22,75,0.56,12.8,2.22,17.4,6.11,6.11,0.56,2.78,6.11,5,0
1295,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,24,1997,32,30,2476,27.5,3,3,3,0,0,7,1,0.11,0.11,0.22,0.11,0.22,4.5,4.5,3.1,7.6,0.16,0.11,0.28,0.16,0.28,54.9,61.1,89.9,984,225.8,1.45,5.6,1.31,0.07,5.45,59.7,1.38,0.91,0.33,11.2,1.71,0.8,0.25,50,5.45,5.6,0.07,2.48,69.4,1.35,11.9,43.3,20.4,2.55,68.2,0.91,1.38,65.8,1.05,0.04,50.4,292.4,174.3,7.24,2.4,0.25,1.05,1.2,61,54.7,89.7,4.76,1.27,0.95,0.25,0.65,0.36,0.22,0.84,26.1,0.62,11.5,3.2,27.9,2.33,6.36,2.76,1.13,2.4,0.69,0
1296,Luuk de Jong,nl NED,FW,Barcelona,es La Liga,30,1990,21,6,654,7.3,6,0,6,0,0,1,0,0.83,0,0.83,0.83,0.83,3.7,3.7,0.2,3.9,0.51,0.03,0.53,0.51,0.53,19.3,26,74.2,250.7,24.8,0.41,0.96,0.27,0,0.96,24.7,1.37,0,0,7.95,0,0,0,17.9,4.52,3.56,0,0.41,40.5,1.78,4.25,21.1,17.4,7.26,39.2,0.55,0.96,57.1,0.55,0,23.2,61.6,24,1.23,0.55,0.14,3.01,2.47,46,30.8,67,9.59,1.37,1.37,0,0.82,0.55,0.14,0.41,33.3,0.27,13.8,6.99,50.5,0.96,7.26,5.62,0.41,1.78,1.37,0
1297,Jens Jшnsson,dk DEN,MF,Cбdiz,es La Liga,28,1993,22,17,1303,14.5,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,0.4,0.4,0.9,1.3,0.03,0.07,0.09,0.03,0.09,18.4,23.2,79.2,316.6,73,0.48,1.03,0.34,0.14,1.1,22.9,0.34,0.28,0.07,4.21,0.34,0.41,0,14.8,2.97,5.52,0,0.9,33.1,3.45,12.1,17.2,5.45,1.17,32.8,0.41,0.55,75,0.41,0,15.9,76.1,23.9,0.76,0.34,0,0.9,0.41,17.6,14.3,81.6,1.03,3.1,2.48,1.72,1.17,0.21,1.24,2.41,51.4,1.17,17.2,5.72,33.2,6.07,9.31,1.86,2.07,5.17,2,0.07
1298,Joan Jordбn,es ESP,MF,Sevilla,es La Liga,27,1994,36,31,2514,27.9,0,1,0,0,0,9,0,0,0.04,0.04,0,0.04,0.9,0.9,1.5,2.4,0.03,0.05,0.09,0.03,0.09,58,66,87.8,1145.1,235.8,0.9,5.2,0.79,0.11,4.05,63.8,2.26,1.9,0.04,9.75,3.37,0.72,0.18,49.7,6.99,9.28,0.14,1.66,74.4,1.97,16.6,43.9,17.3,0.9,72.2,0.72,1.11,64.5,0.79,0.07,51.9,197.6,87,3.48,0.93,0.04,1.04,0.9,59.7,56.5,94.6,2.33,2.26,1.68,0.79,1.22,0.25,1,2.26,44.4,1.25,17.8,4.98,28,5.41,9.82,2.58,1.54,3.8,0.54,0.07
1299,Kaio Jorge,br BRA,MFFW,Juventus,it Serie A,19,2002,9,0,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,0.68,0.25,0.93,0.68,0.93,22.3,29.2,76.3,386.2,46.9,1.54,1.54,0,0,0.77,29.2,0,0,0,7.69,0,0.77,0,20.8,2.31,6.15,0,3.85,47.7,1.54,6.15,20,23.8,7.69,47.7,0.77,1.54,50,0.77,0,32.3,107.7,24.6,2.31,0.77,0.77,3.85,2.31,65.4,37.7,57.6,13.1,2.31,0.77,0,2.31,0,0,1.54,0,1.54,18.5,4.62,25,2.31,9.23,6.92,0,2.31,1.54,0
1300,Mathias Jшrgensen,dk DEN,DF,Brentford,eng Premier League,31,1990,8,6,518,5.8,1,0,1,0,0,2,0,0.17,0,0.17,0.17,0.17,0.1,0.1,0.1,0.2,0.02,0.02,0.03,0.02,0.03,42.6,57.2,74.4,835.7,371.2,0.34,2.59,0.52,0.52,2.93,45.5,11.7,1.38,0,5.52,1.21,1.38,0.17,30.5,8.97,17.8,0.34,0.69,65.9,5.17,28.1,27.6,13.4,0.69,54.1,0,0,,0,0,29.5,156.7,105,1.9,0.86,0,0.17,0.34,35.2,33.4,95.1,0.17,1.9,0.34,0.69,0.69,0.52,1.03,1.55,66.7,0.52,9.31,2.24,24.1,4.83,3.28,1.21,1.72,3.62,2.41,0
1301,Jorginho,it ITA,MF,Chelsea,eng Premier League,29,1991,29,26,2273,25.3,6,2,0,6,7,5,0,0.24,0.08,0.32,0,0.08,5.7,0.4,2.8,3.2,0.23,0.11,0.34,0.02,0.13,65.8,73.4,89.7,1163.8,279.3,0.99,6.32,1.38,0,5.53,71.4,1.94,1.94,0.28,12.8,0.83,0.12,0,59.2,5.65,8.54,0.04,2.26,82.5,2.45,18.5,51,17.9,0.59,80.8,0.51,0.67,76.5,0.55,0.04,57.8,226.5,112.4,4.7,1.26,0.04,0.47,0.87,64.2,61.8,96.3,1.46,2.69,1.82,1.19,1.26,0.24,0.91,3,30.3,2.09,19.3,6.92,35.9,6.96,9.37,2.96,2.37,5.06,0.83,0.04
1302,Josan,es ESP,DFMF,Elche,es La Liga,31,1989,31,10,1211,13.5,2,3,2,0,0,2,0,0.15,0.22,0.37,0.15,0.37,1.2,1.2,3.6,4.8,0.09,0.27,0.36,0.09,0.36,28.1,39.9,70.5,490.1,180.2,1.56,0.89,1.63,0.89,2.59,33.3,6.59,0.52,0,5.78,1.04,4.37,0.22,21.8,9.11,9.04,0.07,1.93,52.2,2,13.7,22.5,19.8,2.3,45.9,1.7,3.04,56.1,1.7,0.22,33.5,212.7,120.4,6,1.48,0.59,1.19,1.48,36.1,30.6,84.6,3.63,2.22,1.33,1.48,0.59,0.15,1.19,2.89,41,1.7,11.6,3.26,28.2,5.11,4.74,1.7,1.48,3.7,1.41,0
1303,Willian Josй,br BRA,FW,Betis,es La Liga,29,1991,32,19,1604,17.8,9,4,6,3,3,2,0,0.5,0.22,0.73,0.34,0.56,6.4,4.1,2.8,6.9,0.36,0.16,0.51,0.23,0.38,23.2,29.8,77.8,374,66,1.07,1.29,0.45,0.06,1.52,27.8,2.02,0,0.11,8.82,1.29,0.34,0,21.3,4.66,3.88,0,2.36,39.7,1.12,3.88,21,16.6,3.03,37.3,0.45,1.01,44.4,0.51,0.06,26.4,113.8,46,2.42,0.62,0.62,1.46,1.63,43.9,29.8,67.8,6.07,0.9,0.73,0.06,0.56,0.28,0.11,0.67,16.7,0.56,12.7,3.6,28.3,1.07,5.73,5.9,0.45,1.35,0.79,0
1304,Joselu,es ESP,FW,Alavйs,es La Liga,31,1990,37,35,3122,34.7,14,4,8,6,7,0,0,0.4,0.12,0.52,0.23,0.35,12.4,7,4,11,0.36,0.12,0.47,0.2,0.32,19.8,32.3,61.2,300,69.7,0.86,1.93,0.52,0.12,2.31,30.8,1.56,0,0.09,13.6,0.58,1.15,0.06,13,9.65,9.71,0.03,1.76,43.9,1.56,3.49,22.4,18.9,4.58,42.1,0.46,1.38,33.3,0.55,0.17,18.7,55.9,18.9,1.07,0.2,0.32,2.13,1.12,51,33.7,66,5.27,0.49,0.23,0,0.35,0.14,0.17,0.78,22.2,0.61,13.3,3.6,27.2,1.12,5.56,6.57,0.32,0.81,1.35,0
1305,Josema,es ESP,DF,Elche,es La Liga,25,1996,6,1,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0.05,0,0.05,18,30.5,59,371,165,0.5,1,0,0,0.5,20.5,10,2,0,5,0,1,0,11,7,12.5,0,0.5,41,6.5,20,16.5,5.5,0,31.5,0,0,,0,0,17.5,95.5,59.5,0.5,0.5,0,1,0,16,15.5,96.9,0,1.5,1,0.5,0.5,0.5,0,0.5,0,0.5,10.5,3.5,33.3,8,2,0.5,1.5,3,5.5,0
